id,value
Venezuela,63
Uruguai,50
Uganda,91
Tanzânia,95
Tailândia,87
Sri Lanka,64
Somalilândia,39
Quênia,93
Peru,53
Nigéria,92
Nicarágua,56
Malavi,88
Kosovo,90
Indonésia,88
Hong Kong,30
Haiti,64
Grécia,92
Georgia,25
Brasil,63
Bósnia e Herzegovina,89
MEDIANA,76
MÉDIA,71
