id,value
Barack Obama (EUA),30
Angela Merkel (Alemanha),13
David Cameron (Reino Unido),10
François Hollande (França),5
Vladimir Putin (Rússia),-10
Xi Jinping (China),-3
Narendra Modi (Índia),4
Dilma Rousseff (Brasil),1
Rei Salman bin Abdulaziz al Saud (Arábia Saudita),-11
Hassan Rouhani (Irã),-13
MEDIANA,2.5
MÉDIA,2.6
